Sentence,Tense,Verb,NER Tag,encode_sent
big drum,0,None,"0,0","0, 1895, 3639, 2"
horse,0,None,0,"0, 4832, 2"
who is that,1,is,"0,1,0","0, 478, 328, 296, 2"
those are checkers,1,are,"0,1,0","0, 1144, 385, 12928, 2"
two checkers yes,0,None,"0,0,0","0, 1201, 12928, 860, 2"
play checkers,1,play,"1,0","0, 1981, 12928, 2"
big horn,0,None,"0,0","0, 1895, 3320, 2"
get over Mommy,1,get,"1,0,0","0, 657, 521, 688, 2"
shadow,0,None,0,"0, 15032, 2"
I like it,1,like,"0,1,0","0, 45, 349, 290, 2"
why don't you read Shadow yourself,1,don't,"0,1,0,0,3,0,0","0, 601, 358, 309, 273, 569, 12205, 1300, 2"
that's a terribly small horse for you to ride,1,s,"0,4,0,0,0,0,0,0,0,3","0, 363, 279, 265, 11221, 1340, 1344, 397, 273, 302, 1446, 2"
why don't you look at some of the toys in the basket,1,don't,"0,1,0,0,3,0,0,0,0,0,0,0,0","0, 601, 358, 309, 273, 415, 396, 430, 340, 272, 885, 318, 272, 1859, 2"
wanna,1,wanna,1,"0, 816, 2"
do you wanna see what I have,1,wanna,"1,0,3,3,0,0,1","0, 410, 273, 423, 384, 339, 322, 381, 2"
what is that,1,is,"0,1,0","0, 312, 328, 296, 2"
not in your mouth,0,None,"0,0,0,0","0, 829, 318, 345, 813, 2"
let me put them together,1,let,"1,0,3,0,0","0, 489, 376, 416, 495, 1092, 2"
no put floor,1,put,"0,1,0","0, 286, 416, 1191, 2"
no that's his pencil,1,s,"0,0,4,0,0","0, 286, 296, 279, 505, 2746, 2"
that's not Daddy that's Colin,1,s,"0,4,0,0,0,4,0","0, 363, 279, 419, 825, 296, 279, 7582, 2"
I think perhaps,1,think,"0,1,0","0, 45, 399, 5886, 2"
perhaps he's going back to school,1,s,"0,0,4,5,0,0,0","0, 6270, 301, 279, 497, 511, 302, 828, 2"
not on the window sill Adam,0,None,"0,0,0,0,0,0","0, 829, 307, 272, 1615, 10121, 1834, 2"
you write on the paper,1,write,"0,1,0,0,0","0, 266, 1330, 307, 272, 1243, 2"
my paper,0,None,"0,0","0, 450, 1243, 2"
circus,0,None,0,"0, 13025, 2"
sitting in Adam's chair,0,None,"5,0,0,0,0","0, 7134, 318, 1834, 279, 910, 2"
why don't you read it to me,1,don't,"0,1,0,0,3,0,0,0","0, 601, 358, 309, 273, 569, 290, 302, 376, 2"
dog,0,None,0,"0, 2661, 2"
that's Cathy,1,s,"0,4,0","0, 363, 279, 7123, 2"
horn,0,None,0,"0, 21704, 2"
is this a horn,1,is,"1,0,0,0","0, 281, 346, 265, 3320, 2"
how many do you have like this,1,do,"0,0,1,0,3,0,0","0, 467, 907, 299, 273, 381, 349, 346, 2"
where are you going,1,are,"0,1,0,5","0, 442, 385, 273, 497, 2"
how does a bunny walk,1,does,"0,1,0,0,3","0, 467, 462, 265, 1185, 958, 2"
does he walk like you,1,does,"1,0,3,0,0","0, 791, 301, 958, 349, 273, 2"
or does he go hop hop hop,1,does,"0,1,0,3,0,0,0","0, 313, 462, 301, 316, 1364, 1364, 1364, 2"
what are you doing,1,are,"0,1,0,5","0, 312, 385, 273, 593, 2"
sweep broom,1,sweep,"1,0","0, 12165, 3367, 2"
is that a broom,1,is,"1,0,0,0","0, 281, 296, 265, 3367, 2"
I thought it was a brush,2,thought,"0,2,0,2,0,0","0, 45, 1006, 290, 405, 265, 1731, 2"
it was a brush,2,was,"0,2,0,0","0, 274, 405, 265, 1731, 2"
okay,0,None,0,"0, 367, 2"
Adam Smith,0,None,"0,0","0, 2637, 8913, 2"
is that the bunny name,1,is,"1,0,0,0,0","0, 281, 296, 272, 1185, 766, 2"
get what,1,get,"1,0","0, 657, 339, 2"
what,0,None,0,"0, 312, 2"
what is it,1,is,"0,1,0","0, 312, 328, 290, 2"
hear a tractor,1,hear,"1,0,0","0, 4892, 265, 2905, 2"
no I think,1,think,"0,0,1","0, 286, 322, 399, 2"
that's a truck,1,s,"0,4,0,0","0, 363, 279, 265, 971, 2"
if you look out the other window,1,look,"0,0,1,0,0,0,0","0, 426, 273, 415, 428, 272, 617, 1615, 2"
maybe you'll see it,3,ll,"0,0,6,3,0","0, 882, 273, 436, 384, 290, 2"
did you see the truck,2,did,"2,0,3,0,0","0, 546, 273, 384, 272, 971, 2"
no you didn't see it,2,didn't,"0,0,2,0,3,0","0, 286, 273, 611, 309, 384, 290, 2"
there goes one,1,goes,"0,1,0","0, 461, 759, 383, 2"
yes there goes one,1,goes,"0,0,1,0","0, 506, 386, 759, 383, 2"
put the truck where,1,put,"1,0,0,0","0, 676, 272, 971, 605, 2"
I think that,1,think,"0,1,0","0, 45, 399, 296, 2"
that one's too large to go in the window,1,s,"0,0,4,0,0,0,3,0,0,0","0, 363, 383, 279, 498, 4770, 302, 316, 318, 272, 1615, 2"
