,Sentence,Tense,Verb,NER Tag,encode_sent,POS,TAG
0,big drum,0,None,"0,0","0, 1895, 3639, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
1,horse,0,None,0,"0, 4832, 2",['NOUN'],['NN']
2,who is that,1,is,"0,1,0","0, 478, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
3,those are checkers,1,are,"0,1,0","0, 1144, 385, 12928, 2","['DET', 'AUX', 'NOUN']","['DT', 'VBP', 'NNS']"
4,two checkers yes,0,None,"0,0,0","0, 1201, 12928, 860, 2","['NUM', 'NOUN', 'INTJ']","['CD', 'NNS', 'UH']"
5,play checkers,1,play,"1,0","0, 1981, 12928, 2","['VERB', 'NOUN']","['VB', 'NNS']"
6,big horn,0,None,"0,0","0, 1895, 3320, 2","['PROPN', 'PROPN']","['NNP', 'NNP']"
7,get over Mommy,1,get,"1,0,0","0, 657, 521, 688, 2","['AUX', 'ADP', 'PROPN']","['VB', 'IN', 'NNP']"
8,shadow,0,None,0,"0, 15032, 2",['PROPN'],['NNP']
9,I like it,1,like,"0,1,0","0, 45, 349, 290, 2","['PRON', 'VERB', 'PRON']","['PRP', 'VBP', 'PRP']"
10,why don't you read Shadow yourself,1,don't,"0,1,0,0,3,0,0","0, 601, 358, 309, 273, 569, 12205, 1300, 2","['ADV', 'AUX', 'PART', 'PRON', 'VERB', 'PROPN', 'PRON']","['WRB', 'VBP', 'RB', 'PRP', 'VB', 'NNP', 'PRP']"
11,that's a terribly small horse for you to ride,1,s,"0,4,0,0,0,0,0,0,0,3","0, 363, 279, 265, 11221, 1340, 1344, 397, 273, 302, 1446, 2","['DET', 'AUX', 'DET', 'ADV', 'ADJ', 'NOUN', 'ADP', 'PRON', 'PART', 'VERB']","['DT', 'VBZ', 'DT', 'RB', 'JJ', 'NN', 'IN', 'PRP', 'TO', 'VB']"
12,why don't you look at some of the toys in the basket,1,don't,"0,1,0,0,3,0,0,0,0,0,0,0,0","0, 601, 358, 309, 273, 415, 396, 430, 340, 272, 885, 318, 272, 1859, 2","['ADV', 'AUX', 'PART', 'PRON', 'VERB', 'ADP', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN']","['WRB', 'VBP', 'RB', 'PRP', 'VB', 'IN', 'DT', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NN']"
13,wanna,1,wanna,1,"0, 816, 2",['PROPN'],['NNP']
14,do you wanna see what I have,1,wanna,"1,0,3,3,0,0,1","0, 410, 273, 423, 384, 339, 322, 381, 2","['AUX', 'PRON', 'PROPN', 'VERB', 'PRON', 'PRON', 'AUX']","['VBP', 'PRP', 'NNP', 'VB', 'WP', 'PRP', 'VBP']"
15,what is that,1,is,"0,1,0","0, 312, 328, 296, 2","['PRON', 'AUX', 'DET']","['WP', 'VBZ', 'DT']"
16,not in your mouth,0,None,"0,0,0,0","0, 829, 318, 345, 813, 2","['PART', 'ADP', 'DET', 'NOUN']","['RB', 'IN', 'PRP$', 'NN']"
17,let me put them together,1,let,"1,0,3,0,0","0, 489, 376, 416, 495, 1092, 2","['VERB', 'PRON', 'VERB', 'PRON', 'ADV']","['VB', 'PRP', 'VB', 'PRP', 'RB']"
18,no put floor,1,put,"0,1,0","0, 286, 416, 1191, 2","['DET', 'NOUN', 'NOUN']","['DT', 'NN', 'NN']"
19,no that's his pencil,1,s,"0,0,4,0,0","0, 286, 296, 279, 505, 2746, 2","['INTJ', 'DET', 'AUX', 'DET', 'NOUN']","['UH', 'DT', 'VBZ', 'PRP$', 'NN']"
20,that's not Daddy that's Colin,1,s,"0,4,0,0,0,4,0","0, 363, 279, 419, 825, 296, 279, 7582, 2","['DET', 'AUX', 'PART', 'PROPN', 'DET', 'AUX', 'PROPN']","['DT', 'VBZ', 'RB', 'NNP', 'WDT', 'VBZ', 'NNP']"
21,I think perhaps,1,think,"0,1,0","0, 45, 399, 5886, 2","['PRON', 'VERB', 'ADV']","['PRP', 'VBP', 'RB']"
