,Sentence,Tense,Verb,NER Tag
0,big drum,0,None,"0,0"
1,horse,0,None,0
2,who is that,1,is,"0,1,0"
3,those are checkers,1,are,"0,1,0"
4,two checkers yes,0,None,"0,0,0"
5,play checkers,1,play,"1,0"
6,big horn,0,None,"0,0"
7,get over Mommy,1,get,"1,0,0"
8,shadow,0,None,0
9,I like it,1,like,"0,1,0"
10,why don't you read Shadow yourself,1,don't,"0,1,0,3,0,0"
11,that's a terribly small horse for you to ride,1,s,"4,0,0,0,0,0,0,0,3"
12,why don't you look at some of the toys in the basket,1,don't,"0,1,0,3,0,0,0,0,0,0,0,0"
13,wanna,1,wanna,1
14,do you wanna see what I have,1,wanna,"1,0,3,3,0,0,1"
15,what is that,1,is,"0,1,0"
16,not in your mouth,0,None,"0,0,0,0"
17,let me put them together,1,let,"1,0,3,0,0"
18,no put floor,1,put,"0,1,0"
19,no that's his pencil,1,s,"0,4,0,0"
20,that's not Daddy that's Colin,1,s,"4,0,0,4,0"
21,I think perhaps,1,think,"0,1,0"
22,perhaps he's going back to school,1,s,"0,4,5,0,0,0"
23,not on the window sill Adam,0,None,"0,0,0,0,0,0"
24,you write on the paper,1,write,"0,1,0,0,0"
25,my paper,0,None,"0,0"
26,circus,0,None,0
27,sitting in Adam's chair,0,None,"5,0,0,0"
28,why don't you read it to me,1,don't,"0,1,0,3,0,0,0"
29,dog,0,None,0
30,that's Cathy,1,s,"4,0"
31,horn,0,None,0
32,is this a horn,1,is,"1,0,0,0"
33,how many do you have like this,1,do,"0,0,1,0,3,0,0"
34,where are you going,1,are,"0,1,0,5"
35,how does a bunny walk,1,does,"0,1,0,0,3"
36,does he walk like you,1,does,"1,0,3,0,0"
37,or does he go hop hop hop,1,does,"0,1,0,3,0,0,0"
38,what are you doing,1,are,"0,1,0,5"
39,sweep broom,1,sweep,"1,0"
40,is that a broom,1,is,"1,0,0,0"
41,I thought it was a brush,2,thought,"0,2,0,2,0,0"
42,it was a brush,2,was,"0,2,0,0"
43,okay,0,None,0
44,Adam Smith,0,None,"0,0"
45,is that the bunny name,1,is,"1,0,0,0,0"
46,get what,1,get,"1,0"
47,what,0,None,0
48,what is it,1,is,"0,1,0"
49,hear a tractor,1,hear,"1,0,0"
50,no I think,1,think,"0,0,1"
51,that's a truck,1,s,"4,0,0"
52,if you look out the other window,1,look,"0,0,1,0,0,0,0"
53,maybe you'll see it,3,ll,"0,6,3,0"
54,did you see the truck,2,did,"2,0,3,0,0"
55,no you didn't see it,2,didn't,"0,0,2,3,0"
56,there goes one,1,goes,"0,1,0"
57,yes there goes one,1,goes,"0,0,1,0"
58,put the truck where,1,put,"1,0,0,0"
59,I think that,1,think,"0,1,0"
60,that one's too large to go in the window,1,s,"0,4,0,0,0,3,0,0,0"
61,tow truck come here,1,come,"0,0,1,0"
62,where,0,None,0
63,oh yeah,0,None,"0,0"
64,that's a big truck,1,s,"4,0,0,0"
65,there goes another one,1,goes,"0,1,0,0"
66,busy bulldozer,0,None,"0,0"
67,yes look another one,1,look,"0,1,0,0"
68,Bozo,0,None,0
69,did you show Ursula that,2,did,"2,0,3,0,0"
70,do you know,1,do,"1,0,3"
71,what those are,1,are,"0,0,1"
72,I guess,1,guess,"0,1"
73,she might like to see that,1,might,"0,7,3,0,3,0"
74,what kind of hat is that,1,is,"0,0,0,0,1,0"
75,Adam's hat,0,None,"0,0"
76,where have you seen a hat like that,1,have,"0,1,0,8,0,0,0,0"
77,what do you think this is,1,do,"0,1,0,3,0,1"
78,Humpty Dumpty,0,None,"0,0"
79,no,0,None,0
80,what is that,1,is,"0,1,0"
81,not the kind you hit,1,hit,"0,0,0,0,1"
82,but the kind you kick,1,kick,"0,0,0,0,1"
83,so what kind of ball is that,1,is,"0,0,0,0,0,1,0"
84,not shoe ball,0,None,"0,0,0"
85,foot ball,0,None,"0,0"
86,I saw a tank truck,2,saw,"0,2,0,0,0"
87,you change the kitty's diaper,1,change,"0,1,0,0,0"
88,was he dirty,2,was,"2,0,0"
89,okay kitty what,0,None,"0,0,0"
90,Adam fall toy,1,fall,"0,1,0"
91,you didn't fall that time,2,didn't,"0,2,3,0,0"
92,you just sat down,2,sat,"0,0,2,0"
93,that one doesn't have a bunny on,1,doesn't have,"0,0,1,3,0,0,0"
94,those are her paper clips,1,are,"0,1,0,0,0"
95,you don't need a pencil,1,don't,"0,1,3,0,0"
96,you had a pencil,2,had,"0,2,0,0"
97,here's a pencil,1,s,"4,0,0"
98,thank you,1,thank,"1,0"
99,why don't you take that over,1,don't,"0,1,0,3,0,0"
100,and show it to him,1,show,"0,1,0,0,0"
101,maybe he likes ball players,1,likes,"0,0,1,0,0"
102,do you think he would,1,do,"1,0,3,0,7"
103,did you show him the ball player,2,did,"2,0,3,0,0,0,0"
104,your ball player,0,None,"0,0,0"
105,what is that,1,is,"0,1,0"
106,what is that,1,is,"0,1,0"
107,boots yes,0,None,"0,0"
108,no Mr Greenjeans isn't on now,1,isn't,"0,0,0,1,0,0"
109,wouldn't you like to pick these up,1,wouldn't,"7,0,0,0,3,0,0"
110,part what trailer,0,None,"0,0,0"
111,is that part of the two truck,1,is,"1,0,0,0,0,0,0"
112,night night,0,None,"0,0"
113,are you ready to go night night,1,are,"1,0,0,0,3,0,0"
114,what kind of hat is that,1,is,"0,0,0,0,1,0"
115,you hit your head didn't you,2,hit,"0,2,0,0,2,0"
116,did it hurt,2,did,"2,0,0"
117,poor head,0,None,"0,0"
