Number,Chinese,Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Hungarian,Italian,Japanese,Norwegian,Polish,Portuguese,Romanian,Spanish,Swedish,Turkish,Welsh (masculine),Welsh (feminine),Scottish Gaelic (Traditional),Scottish Gaelic (Modern)
0,ling,nula,nula,nul,nul,zero,null,nolla,zero,null,nulla,zero,rei,null,zero,zero,zero,cero,noll,sifir,dim,dim,neoni,neoni
1,yi,jedan,jeden,en,een,one,üks,yksi,un,eins,egy,uno,ichi,en,jeden,um,unu,uno,en,bir,un,un,aon,aon
2,er,dva,dva,to,twee,two,kaks,kaksi,deux,zwei,kettö,due,ni,to,dwa,dois,doi,dos,två,iki,dau,dwy,dhà,dhà
3,san,tri,tri,tre,drie,three,kolm,kolme,trois,drei,három,tre,san,tre,trzy,três,trei,tres,tre,üç,tri,tair,trì,trì
4,si,četiri,chtyri,fire,vier,four,neli,neljä,quatre,vier,négy,quattro,yon,fire,cztery,quatro,patru,cuatro,fyra,dört,pedwar,pedair,ceithir,ceithir
5,wu,pet,pet,fem,vijf,five,viis,viisi,cinq,fünf,öt,cinque,go,fem,piec,cinco,cinci,cinco,fem,bes,pump,pump,còig,còig
6,liu,šest,shest,seks,zes,six,kuus,kuusi,six,sechs,hat,sei,roku,seks,szesc,seis,sase,seis,sex,alti,chwech,chwech,sia,sia
7,qi,sedam,sedm,syv,zeven,seven,seitse,seitsemän,sept,sieben,hét,sette,nana,syv,siedem,sete,sapte,siete,sju,yedi,saith,saith,seachd,seachd
8,ba,osam,osm,otte,acht,eight,kaheksa,kahdeksan,huit,acht,nyolc,otto,hachi,åtte,osiem,oito,opt,ocho,åtta,sekiz,wyth,wyth,ochd,ochd
9,jiu,devet,devet,ni,negen,nine,üheksa,yhdeksän,neuf,neun,kilenc,nove,kyuu,ni,dziewiec,nove,noua,nueve,nio,dokuz,naw,naw,naoi,naoi
