Sentence,Tense,Verb,NER Tag
big drum,0,None,"0,0"
horse,0,None,0
who is that,1,is,"0,1,0"
those are checkers,1,are,"0,1,0"
two checkers yes,0,None,"0,0,0"
play checkers,1,play,"1,0"
big horn,0,None,"0,0"
get over Mommy,1,get,"1,0,0"
shadow,0,None,0
I like it,1,like,"0,1,0"
why don't you read Shadow yourself,1,don't,"0,1,0,3,0,0"
that's a terribly small horse for you to ride,1,s,"4,0,0,0,0,0,0,0,3"
why don't you look at some of the toys in the basket,1,don't,"0,1,0,3,0,0,0,0,0,0,0,0"
wanna,1,wanna,1
do you wanna see what I have,1,wanna,"1,0,3,3,0,0,1"
what is that,1,is,"0,1,0"
not in your mouth,0,None,"0,0,0,0"
let me put them together,1,let,"1,0,3,0,0"
no put floor,1,put,"0,1,0"
no that's his pencil,1,s,"0,4,0,0"
that's not Daddy that's Colin,1,s,"4,0,0,4,0"
I think perhaps ,1,think,"0,1,0"
perhaps he's going back to school,1,s,"0,4,5,0,0,0"
not on the window sill Adam,0,None,"0,0,0,0,0,0"
you write on the paper,1,write,"0,1,0,0,0"
my paper,0,None,"0,0"
circus,0,None,0
sitting in Adam's chair,0,None,"5,0,0,0"
why don't you read it to me,1,don't,"0,1,0,3,0,0,0"
dog,0,None,0
that's Cathy,1,s,"4,0"
horn,0,None,0
is this a horn,1,is,"1,0,0,0"
how many do you have like this,1,do,"0,0,1,0,3,0,0"
where are you going,1,are,"0,1,0,5"
how does a bunny walk,1,does,"0,1,0,0,3"
does he walk like you ,1,does,"1,0,3,0,0"
or does he go hop hop hop,1,does,"0,1,0,3,0,0,0"
what are you doing,1,are,"0,1,0,5"
sweep broom,1,sweep,"1,0"
is that a broom,1,is,"1,0,0,0"
I thought it was a brush,2,thought,"0,2,0,2,0,0"
it was a brush,2,was,"0,2,0,0"
okay,0,None,0
Adam Smith,0,None,"0,0"
is that the bunny name,1,is,"1,0,0,0,0"
get what,1,get,"1,0"
what,0,None,0
what is it,1,is,"0,1,0"
hear a tractor,1,hear,"1,0,0"
no I think,1,think,"0,0,1"
that's a truck,1,s,"4,0,0"
if you look out the other window ,1,look,"0,0,1,0,0,0,0"
maybe you'll see it,3,ll,"0,6,3,0"
did you see the truck,2,did,"2,0,3,0,0"
no you didn't see it,2,didn't,"0,0,2,3,0"
there goes one,1,goes,"0,1,0"
yes there goes one,1,goes,"0,0,1,0"
put the truck where,1,put,"1,0,0,0"
I think that ,1,think,"0,1,0"
that one's too large to go in the window,1,s,"0,4,0,0,0,3,0,0,0"
tow truck come here,1,come,"0,0,1,0"
where,0,None,0
oh yeah,0,None,"0,0"
that's a big truck,1,s,"4,0,0,0"
there goes another one,1,goes,"0,1,0,0"
busy bulldozer,0,None,"0,0"
yes look another one,1,look,"0,1,0,0"
Bozo,0,None,0
did you show Ursula that,2,did,"2,0,3,0,0"
do you know,1,do,"1,0,3"
what those are,1,are,"0,0,1"
I guess ,1,guess,"0,1"
she might like to see that,1,might,"0,7,3,0,3,0"
what kind of hat is that,1,is,"0,0,0,0,1,0"
Adam's hat,0,None,"0,0"
where have you seen a hat like that,1,have,"0,1,0,8,0,0,0,0"
what do you think this is,1,do,"0,1,0,3,0,1"
Humpty Dumpty,0,None,"0,0"
no,0,None,0
what is that,1,is,"0,1,0"
not the kind you hit ,1,hit,"0,0,0,0,1"
but the kind you kick,1,kick,"0,0,0,0,1"
so what kind of ball is that,1,is,"0,0,0,0,0,1,0"
not shoe ball,0,None,"0,0,0"
foot ball,0,None,"0,0"
I saw a tank truck,2,saw,"0,2,0,0,0"
you change the kitty's diaper,1,change,"0,1,0,0,0"
was he dirty,2,was,"2,0,0"
okay kitty what,0,None,"0,0,0"
Adam fall toy,1,fall,"0,1,0"
you didn't fall that time,2,didn't,"0,2,3,0,0"
you just sat down,2,sat,"0,0,2,0"
that one doesn't have a bunny on,1,doesn't have,"0,0,1,3,0,0,0"
those are her paper clips,1,are,"0,1,0,0,0"
you don't need a pencil,1,don't ,"0,1,3,0,0"
you had a pencil,2,had,"0,2,0,0"
here's a pencil,1,s,"4,0,0"
thank you,1,thank,"1,0"
why don't you take that over ,1,don't ,"0,1,0,3,0,0"
